-7.515307820504802e-13 + 0.0im
1.935701599009576e-12 + 0.0im
-4.063416270128073e-14 + 0.0im
-1.0475648126728743e-12 + 0.0im
6.50869982909974e-13 + 0.0im
-1.5665801988973271e-12 + 0.0im
4.3827441675858836e-13 + 0.0im
8.51547998781399e-13 + 0.0im
-2.40588104993833e-12 + 0.0im
-3.3936742305229473e-12 + 0.0im
-6.32574548298237e-12 + 0.0im
-2.4940188803057595e-12 + 0.0im
7.113198918773378e-13 + 0.0im
-1.116017001034919e-12 + 0.0im
-2.7622348852673895e-13 + 0.0im
1.0280803985907028e-12 + 0.0im
1.1847467451531202e-13 + 0.0im
5.5216664573976004e-12 + 0.0im
-3.5704772471945034e-13 + 0.0im
4.639691408847568e-13 + 0.0im
-2.8426358489319625e-12 + 0.0im
3.1278868384276848e-12 + 0.0im
4.784436735683073e-13 + 0.0im
-3.745885546191374e-12 + 0.0im
2.940439558507535e-12 + 0.0im
2.9427016379202087e-12 + 0.0im
4.140215947856518e-12 + 0.0im
3.5738356718439945e-12 + 0.0im
-1.1319278847565784e-12 + 0.0im
-3.1264296707078643e-12 + 0.0im
4.763134331398078e-13 + 0.0im
-1.9091117575698036e-12 + 0.0im
-9.372867065815527e-13 + 0.0im
-8.38829006255537e-13 + 0.0im
-1.6845136396881344e-12 + 0.0im
-1.1965480689601904e-12 + 0.0im
4.294745115096532e-12 + 0.0im
8.929051942274668e-12 + 0.0im
7.329956086543632e-12 + 0.0im
5.3832077684390356e-12 + 0.0im
8.597844658453369e-13 + 0.0im
-1.3286247102506366e-12 + 0.0im
-1.6370238498097933e-13 + 0.0im
1.2477241462249822e-12 + 0.0im
4.509032036636995e-13 + 0.0im
2.8716751199198143e-12 + 0.0im
4.061376235320324e-12 + 0.0im
1.9712009802219654e-13 + 0.0im
-3.2696623186723173e-12 + 0.0im
-2.3713864205632262e-11 + 0.0im
-1.1882522743533741e-11 + 0.0im
-2.152528155718869e-12 + 0.0im
1.2338782773291257e-11 + 0.0im
1.094659779488083e-11 + 0.0im
1.6936119173749375e-11 + 0.0im
